canonical_id,season,official_game_id,match_method,canonical_score,official_score,official_venue
ausl-2025-03c853891d304eb7,2025,786,teams_date_score,"[4, 5]","[4, 5]",Dumke Family Softball Stadium
ausl-2025-0c0fbffe84135ce2,2025,768,teams_date_score,"[7, 9]","[7, 9]",Wilkins Stadium
ausl-2025-0c5f4aa5f4e29034,2025,752,teams_date_score,"[1, 3]","[1, 3]",Wilkins Stadium
ausl-2025-11017d17ccf3a918,2025,757,teams_date_score,"[12, 14]","[12, 14]",Jim Frost Stadium
ausl-2025-1560424f1dabc9bb,2025,750,teams_date_score,"[3, 6]","[3, 6]",The Stadium at Parkway Bank Sports Complex
ausl-2025-17b229c1b5b405cf,2025,751,teams_date_score,"[3, 10]","[3, 10]",Wilkins Stadium
ausl-2025-29e173a5d3875b10,2025,787,teams_datetime_nearest_score_disagreement,"[1, 9]","[2, 9]",Dell Diamond
ausl-2025-2d89e837d661d280,2025,777,teams_date_score,"[0, 2]","[0, 2]",The Stadium at Parkway Bank Sports Complex
ausl-2025-31be0813d7d85a82,2025,762,teams_date_score,"[4, 5]","[4, 5]",Wilkins Stadium
ausl-2025-39aed3a0a15dcb51,2025,779,teams_date_score,"[6, 11]","[6, 11]",Husky Softball Stadium
ausl-2025-3b8fb90d2fbdf314,2025,774,teams_date_score,"[10, 12]","[10, 12]",The Stadium at Parkway Bank Sports Complex
ausl-2025-3c027045ee1f0b27,2025,769,teams_date_score,"[3, 8]","[3, 8]",Love's Field
ausl-2025-3e0f6d9570698503,2025,748,teams_date_score,"[1, 3]","[1, 3]",The Stadium at Parkway Bank Sports Complex
ausl-2025-40b2b02c0febd1f0,2025,776,teams_date_score,"[4, 5]","[4, 5]",The Stadium at Parkway Bank Sports Complex
ausl-2025-41e8a589154ad199,2025,782,teams_date_score,"[3, 6]","[3, 6]",Connie Claussen Field
ausl-2025-487b21d788da8a4f,2025,772,teams_date_score,"[3, 5]","[3, 5]",The Stadium at Parkway Bank Sports Complex
ausl-2025-4d8268ae9282de9e,2025,754,teams_date_score,"[5, 6]","[5, 6]",McMurry Park
ausl-2025-50a59ac70736572d,2025,781,teams_date_score,"[1, 3]","[1, 3]",Husky Softball Stadium
ausl-2025-5731f8f564a5deb5,2025,783,teams_date_score,"[2, 10]","[2, 10]",Husky Softball Stadium
ausl-2025-5d0a04645769dc45,2025,755,teams_date_score,"[6, 7]","[6, 7]",Jim Frost Stadium
ausl-2025-5ef5cb37be8c4c36,2025,773,teams_date_score,"[1, 9]","[1, 9]",The Stadium at Parkway Bank Sports Complex
ausl-2025-77a89e65051de7cd,2025,759,teams_date_score,"[8, 10]","[8, 10]",Jim Frost Stadium
ausl-2025-7ac9f8836b521485,2025,785,teams_date_score,"[7, 8]","[7, 8]",Dell Diamond
ausl-2025-7f64752e73f89966,2025,771,teams_date_score,"[6, 8]","[6, 8]",Love's Field
ausl-2025-8f9abf551ebf50a0,2025,770,teams_date_score,"[3, 11]","[3, 11]",Wilkins Stadium
ausl-2025-9214d61e910e42df,2025,763,teams_date_score,"[1, 6]","[1, 6]",Wilkins Stadium
ausl-2025-97624070dd6bf1fe,2025,749,teams_date_score,"[1, 5]","[1, 5]",Wilkins Stadium
ausl-2025-9dd3560aa9c4150d,2025,753,teams_date_score,"[0, 8]","[0, 8]",The Stadium at Parkway Bank Sports Complex
ausl-2025-a90cda2a506a8254,2025,758,teams_date_score,"[0, 6]","[0, 6]",McMurry Park
ausl-2025-a94876c9855e5c1b,2025,766,teams_date_score,"[0, 4]","[0, 4]",Love's Field
ausl-2025-c9da8860118ff2a2,2025,780,teams_date_score,"[1, 9]","[1, 9]",Connie Claussen Field
ausl-2025-d6ce7f42a0f63c17,2025,765,teams_date_score,"[2, 3]","[2, 3]",Love's Field
ausl-2025-d712820ab5686f4e,2025,775,teams_date_score,"[0, 4]","[0, 4]",The Stadium at Parkway Bank Sports Complex
ausl-2025-e010dee43a565f86,2025,784,teams_date_score,"[1, 4]","[1, 4]",Dumke Family Softball Stadium
ausl-2025-e23d1ecc674f7a54,2025,756,teams_date_score,"[1, 6]","[1, 6]",McMurry Park
ausl-2025-e78cb576505a9770,2025,778,teams_date_score,"[7, 8]","[7, 8]",Connie Claussen Field
ausl-2025-f5aa3c6a2f1972fe,2025,767,teams_date_score,"[3, 11]","[3, 11]",Wilkins Stadium
ausl-2025-f92fdc3f3b625344,2025,764,teams_date_score,"[2, 11]","[2, 11]",Wilkins Stadium
ausl-2026-00d72870d15ca8fa,2026,917,teams_date_score,"[2, 11]","[2, 11]",Smith Family Stadium
ausl-2026-07f968f1ddba7f9e,2026,949,teams_date_score,"[6, 8]","[6, 8]",Tom Heath Field
ausl-2026-0ab2caaab52a1239,2026,934,teams_date_score,"[1, 6]","[1, 6]",Dell Diamond
ausl-2026-1279d891a356ac3f,2026,915,teams_date_score,"[5, 13]","[5, 13]",Tom Heath Field
ausl-2026-1c3b23d2b40ccb11,2026,923,teams_date_score,"[1, 9]","[1, 9]",Smith Family Stadium
ausl-2026-1d90d44046b872f3,2026,930,teams_date_score,"[3, 4]","[3, 4]",The Stadium at Parkway Bank Sports Complex
ausl-2026-1f0d2a98bd8af5d0,2026,918,teams_date_score,"[5, 8]","[5, 8]",Tom Heath Field
ausl-2026-2afa123c443e6ef1,2026,942,teams_date_score,"[4, 6]","[4, 6]",Dell Diamond
ausl-2026-40e57742130c93ca,2026,952,teams_date_score,"[3, 13]","[3, 13]",The Stadium at Parkway Bank Sports Complex
ausl-2026-411d48ad1f32e729,2026,922,teams_date_score,"[1, 9]","[1, 9]",The Stadium at Parkway Bank Sports Complex
ausl-2026-43af7256fec38fef,2026,932,teams_date_score,"[3, 4]","[3, 4]",Dell Diamond
ausl-2026-49c63461dad3d039,2026,940,teams_date_score,"[2, 6]","[2, 6]",Dell Diamond
ausl-2026-4d78434658678802,2026,925,teams_date_score,"[3, 11]","[3, 11]",The Stadium at Parkway Bank Sports Complex
ausl-2026-4fb9c31739b3dc79,2026,913,teams_date_score,"[2, 5]","[2, 5]",Dumke Family Softball Stadium
ausl-2026-564d56163b693743,2026,921,teams_date_score,"[4, 5]","[4, 5]",Tom Heath Field
ausl-2026-5e1d130211e5aabd,2026,944,teams_date_score,"[0, 3]","[0, 3]",Durham Bulls Athletic Park
ausl-2026-5e63fe1d99d3db0c,2026,927,teams_date_score,"[5, 6]","[5, 6]",Smith Family Stadium
ausl-2026-620672750a40e4c9,2026,919,teams_date_score,"[8, 9]","[8, 9]",Dumke Family Softball Stadium
ausl-2026-62b06a142846270a,2026,914,teams_date_score,"[1, 4]","[1, 4]",Smith Family Stadium
ausl-2026-63f7bfc816fcc6ec,2026,945,teams_date_score,"[1, 5]","[1, 5]",Dell Diamond
ausl-2026-6578cc114b9c1adf,2026,947,teams_date_score,"[1, 6]","[1, 6]",Durham Bulls Athletic Park
ausl-2026-688ade051c6a8cc7,2026,948,teams_date_score,"[3, 6]","[3, 6]",Dell Diamond
ausl-2026-7a2532058c5a7568,2026,1144,teams_date_score,"[1, 5]","[1, 5]",The Stadium at Parkway Bank Sports Complex
ausl-2026-80fda7ca05b7c2e8,2026,936,teams_date_score,"[0, 8]","[0, 8]",Dell Diamond
ausl-2026-9dc65ffe33b04861,2026,941,teams_date_score,"[3, 6]","[3, 6]",Dumke Family Softball Stadium
ausl-2026-a0a1f3e31a5b107e,2026,928,teams_date_score,"[2, 3]","[2, 3]",Dumke Family Softball Stadium
ausl-2026-a14aa0af904e9067,2026,939,teams_date_score,"[1, 5]","[1, 5]",Dumke Family Softball Stadium
ausl-2026-a24cb00a6bb34b2e,2026,956,teams_date_score,"[3, 11]","[3, 11]",The Stadium at Parkway Bank Sports Complex
ausl-2026-ac943b3c9f410a72,2026,935,teams_date_score,"[0, 8]","[0, 8]",The Stadium at Parkway Bank Sports Complex
ausl-2026-bbf7ed91bb6f0009,2026,926,teams_date_score,"[1, 2]","[1, 2]",Dumke Family Softball Stadium
ausl-2026-c350c2a4bba176ef,2026,951,teams_date_score,"[4, 5]","[4, 5]",Tom Heath Field
ausl-2026-c3cfee37ee995d4a,2026,946,teams_date_score,"[0, 14]","[0, 14]",Tom Heath Field
ausl-2026-ca1589268361bd28,2026,916,teams_date_score,"[0, 1]","[0, 1]",Dumke Family Softball Stadium
ausl-2026-d099954173c2e103,2026,955,teams_date_score,"[4, 8]","[4, 8]",Dumke Family Softball Stadium
ausl-2026-d5738e68857ab5e7,2026,931,teams_date_score,"[0, 3]","[0, 3]",Hillsboro Ballpark
ausl-2026-d8caf7d2326f0426,2026,953,teams_date_score,"[2, 5]","[2, 5]",Dumke Family Softball Stadium
ausl-2026-d94dca75a1b579a5,2026,943,teams_date_score,"[2, 3]","[2, 3]",Durham Bulls Athletic Park
ausl-2026-da3f0d324b2114b2,2026,950,teams_date_score,"[2, 5]","[2, 5]",Dell Diamond
ausl-2026-df00aee444a8828c,2026,957,teams_date_score,"[2, 4]","[2, 4]",Dumke Family Softball Stadium
ausl-2026-e42f4f113f566877,2026,933,teams_date_score,"[1, 6]","[1, 6]",Hillsboro Ballpark
ausl-2026-ea33a654a1bc5c26,2026,929,teams_date_score,"[4, 5]","[4, 5]",The Stadium at Parkway Bank Sports Complex
ausl-2026-ec795573890de580,2026,924,teams_date_score,"[1, 3]","[1, 3]",Dumke Family Softball Stadium
ausl-2026-f7f9b54250efa7fa,2026,954,teams_date_score,"[3, 9]","[3, 9]",Tom Heath Field
ausl-2026-f9c8f732ec4c70fa,2026,938,teams_date_score,"[3, 4]","[3, 4]",Hillsboro Ballpark
ausl-2026-fcb96c9ef665f7f6,2026,920,teams_date_score,"[4, 12]","[4, 12]",Smith Family Stadium
